학교,과목,학년(학년군),성취기준 코드,성취기준 내용
중학교,기술·가정,1~3학년,[9기가04-03],사용자 요구 및 주어진 환경과 조건을 충족하는 지속가능한 건설 구조물의 모형을 설계⋅제작 및 평가한다.
중학교,기술·가정,1~3학년,[9기가04-04],전기⋅전자 부품의 종류와 기능을 이해하고 기능에 맞는 부품을 선택하여 문제를 해결하기 위한 간단한 회로를 구성하고 제작 및 평가한다.
중학교,기술·가정,1~3학년,[9기가04-05],"정보통신과 인공지능 기술의 활용 사례를 탐구하고, 정보통신과 인공지능 기술이 우리 삶에 미치는 영향을 다양한 관점에서 평가한다."
중학교,기술·가정,1~3학년,[9기가04-06],"정보통신과 인공지능 기술 관련 문제를 이해하고 해결 방안을 탐색, 실현, 평가함으로써 긍정적인 문제 해결 태도를 갖는다."
중학교,기술·가정,1~3학년,[9기가04-07],"기계의 구성 요소 및 동력 전달 장치의 종류와 특징을 이해하고, 작동 원리에 맞는 기계요소를 선택하여 평가한다."
중학교,기술·가정,1~3학년,[9기가04-08],다양한 기계요소와 동력 전달 방법을 활용하여 주어진 문제를 해결할 수 있는 운동 물체를 안전하게 제작하고 평가한다.
중학교,기술·가정,1~3학년,[9기가04-09],로봇에 활용되고 있는 제어 및 자동화 기술 등을 탐구하여 간단한 로봇을 제작하고 평가함으로써 창조에 대한 자신감을 갖는다.
중학교,기술·가정,1~3학년,[9기가04-10],"인간의 건강과 생명 연장을 위해 의료 분야에서 활용되는 생명기술 사례를 조사하고, 생명기술이 개인과 사회에 미친 영향을 평가한다."
중학교,기술·가정,1~3학년,[9기가04-11],"생명기술을 이해하며, 이와 관련된 문제의 해결 방안을 탐색, 실현, 평가하고, 생명 존중 및 윤리적 태도를 갖는다."
중학교,기술·가정,1~3학년,[9기가04-12],기술적 문제에 대한 도전적 태도로 다양한 분야에 활용되고 있는 융합 기술의 사례를 탐구하고 미래의 기술 변화를 전망한다.
중학교,기술·가정,1~3학년,[9기가04-13],긍정적이고 공감하는 문제 해결 태도를 바탕으로 지속가능한 발전과 혁신을 위해 융합 기술 문제를 해결하고 과정과 결과를 평가한다.
중학교,정보,1~3학년,[9정01-01],"컴퓨팅 시스템의 구성요소와 동작 원리를 이해하고, 운영 체제의 기능을 분석한다."
중학교,정보,1~3학년,[9정01-02],"피지컬 컴퓨팅의 개념을 이해하고, 생활 속에서 적용된 사례 조사를 통해 컴퓨팅 시스템의 필요성과 가치를 판단한다."
중학교,정보,1~3학년,[9정01-03],문제 해결 목적에 맞는 피지컬 컴퓨팅 구성요소를 선택하여 시스템을 구상한다.
중학교,정보,1~3학년,[9정02-01],"실생활의 데이터가 디지털 형태로 변환되어 활용되는 긍정적 가치를 탐색하고, 다양한 데이터를 디지털 형태로 표현한다."
중학교,정보,1~3학년,[9정02-02],"문제 해결에 적합한 데이터를 수집하고, 목적에 맞게 구분하여 관리한다."
중학교,정보,1~3학년,[9정02-03],"실생활의 데이터를 표, 다이어그램 등 다양한 형태로 구조화한다."
중학교,정보,1~3학년,[9정02-04],"사례를 중심으로 데이터 간의 관계를 파악하고, 데이터에 기반하여 의미를 해석한다."
중학교,정보,1~3학년,[9정02-05],여러 학문 분야의 사례를 중심으로 데이터를 수집⋅분석하여 융합적으로 문제를 해결한다.
중학교,정보,1~3학년,[9정03-01],문제의 상태를 정의하고 수행 가능한 형태로 구조화한다.
중학교,정보,1~3학년,[9정03-02],"문제 해결을 위한 추상화의 중요성을 이해하고, 핵심요소를 중심으로 알고리즘을 표현한다."
중학교,정보,1~3학년,[9정03-03],"알고리즘의 중요성을 이해하고, 문제를 해결하는 다양한 알고리즘을 비교⋅분석한다."
중학교,정보,1~3학년,[9정03-04],사례를 중심으로 문제 해결에 적합한 전략을 선택하여 알고리즘을 설계한다.
중학교,정보,1~3학년,[9정03-05],데이터를 순차적으로 저장할 수 있는 구조를 활용하여 문제 해결 프로그램을 작성한다.
중학교,정보,1~3학년,[9정03-06],논리 연산과 중첩 제어 구조를 활용하여 문제를 해결하는 프로그램을 작성한다.
중학교,정보,1~3학년,[9정03-07],"프로그램 작성에서 함수를 활용하고, 프로그램 수행 결과를 디버거로 분석하여 오류를 수정한다."
중학교,정보,1~3학년,[9정03-08],"실생활의 문제를 탐색하여 발견하고, 프로그래밍을 통해 해결한다."
중학교,정보,1~3학년,[9정03-09],다양한 학문 분야의 문제 해결을 위해 협력하여 소프트웨어를 개발한다.
중학교,정보,1~3학년,[9정04-01],인공지능의 개념과 특성을 설명하고 인공지능 소프트웨어를 구별한다.
중학교,정보,1~3학년,[9정04-02],"인공지능 학습에서 데이터의 중요성을 이해하고, 학습에 필요한 데이터를 수집하여 분류한다."
중학교,정보,1~3학년,[9정04-03],다양한 데이터를 활용하여 인공지능 시스템을 구성하고 적용한다.
중학교,정보,1~3학년,[9정04-04],"인공지능 시스템으로 해결 가능한 문제를 발견하고, 문제 해결에 적합한 인공지능 시스템을 적용한다."
중학교,정보,1~3학년,[9정04-05],인공지능 학습에 필요한 데이터의 수집과 활용에서 발생하는 윤리적인 문제의 해결 방안을 구상한다.
중학교,정보,1~3학년,[9정05-01],"디지털 사회의 특성을 탐구하고, 사회 변화에 따른 직업의 변화를 탐구한다."
중학교,정보,1~3학년,[9정05-02],디지털 사회의 구성원으로서 편리하고 안전한 생활을 위한 규칙에 대해 민주적으로 논의하고 실천 방안을 수립한다.
중학교,정보,1~3학년,[9정05-03],사례를 중심으로 디지털 공간에서 함께 살아가기 위해 개인 정보 및 권리와 저작권을 보호하는 실천 방법을 탐구한다.
중학교,체육,1~3학년,[9체01-01],체력 증진의 의미를 이해하고 원리를 분석한다.
중학교,체육,1~3학년,[9체01-02],자신의 체력 수준에 맞는 체력 증진 운동을 실천한다.
중학교,체육,1~3학년,[9체01-03],체력 관리의 의미를 이해하고 원리를 분석한다.
중학교,체육,1~3학년,[9체01-04],자신의 체력을 진단하고 적합한 체력 관리 방법을 실천한다.
중학교,체육,1~3학년,[9체01-05],운동 처방의 의미를 이해하고 원리를 분석한다.
중학교,체육,1~3학년,[9체01-06],자신의 신체 조건이나 체력에 맞게 운동 처방 계획을 수립하고 안전하게 실천한다.
중학교,체육,1~3학년,[9체01-07],신체 건강의 의미를 이해하고 신체 건강 활동의 종류와 특성을 분석한다.
중학교,체육,1~3학년,[9체01-08],자신에게 적합한 신체 건강 활동 방법을 실천한다.
중학교,체육,1~3학년,[9체01-09],정신 건강의 의미를 이해하고 정신 건강 활동의 종류와 특성을 분석한다.
중학교,체육,1~3학년,[9체01-10],자신에게 적합한 정신 건강 활동 방법을 실천한다.
중학교,체육,1~3학년,[9체01-11],사회적 건강의 의미를 이해하고 사회적 건강을 위한 활동의 종류와 특성을 분석한다.
중학교,체육,1~3학년,[9체01-12],사회적으로 적합한 건강 활동 방법을 실천한다.
중학교,체육,1~3학년,[9체01-13],체력 운동을 하며 실천 의지와 인내심을 보이고 자기 주도적으로 문제를 해결한다.
중학교,체육,1~3학년,[9체01-14],건강 활동을 자율적으로 실천하며 자신과 공동체에 대한 안전을 추구한다.
중학교,체육,1~3학년,[9체02-01],동작형 스포츠의 역사와 특성을 탐색하고 비교한다.
중학교,체육,1~3학년,[9체02-02],동작형 스포츠의 수행 원리를 적용하여 경기 기능을 수련하고 향상한다.
중학교,체육,1~3학년,[9체02-03],동작형 스포츠의 경기 방법을 이해하고 경기 전략을 상황에 맞게 활용하며 안전하게 경기한다.
중학교,체육,1~3학년,[9체02-04],기록형 스포츠의 역사와 특성을 탐색하고 비교한다.
중학교,체육,1~3학년,[9체02-05],기록형 스포츠의 수행 원리를 적용하여 경기 기능을 수련하고 향상한다.
중학교,체육,1~3학년,[9체02-06],기록형 스포츠의 경기 방법을 이해하고 경기 전략을 상황에 맞게 활용하며 안전하게 경기한다.
중학교,체육,1~3학년,[9체02-07],투기형 스포츠의 역사와 특성을 탐색하고 비교한다.
중학교,체육,1~3학년,[9체02-08],투기형 스포츠의 수행 원리를 적용하여 경기 기능을 수련하고 향상한다.
중학교,체육,1~3학년,[9체02-09],투기형 스포츠의 경기 방법을 이해하고 경기 전략을 상황에 맞게 활용하며 안전하게 경기한다.
중학교,체육,1~3학년,[9체02-10],영역형 스포츠의 역사와 특성을 탐색하고 비교한다.
중학교,체육,1~3학년,[9체02-11],영역형 스포츠의 수행 원리를 적용하여 경기 기능을 수행하고 향상한다.
중학교,체육,1~3학년,[9체02-12],영역형 스포츠의 경기 방법을 이해하고 경기 전략을 활용하며 안전하게 경기한다.
중학교,체육,1~3학년,[9체02-13],필드형 스포츠의 역사와 특성을 탐색하고 비교한다.
중학교,체육,1~3학년,[9체02-14],필드형 스포츠의 수행 원리를 적용하여 경기 기능을 수행하고 향상한다.
중학교,체육,1~3학년,[9체02-15],필드형 스포츠의 경기 방법을 이해하고 경기 전략을 활용하며 안전하게 경기한다.
중학교,체육,1~3학년,[9체02-16],네트형 스포츠의 역사와 특성을 탐색하고 비교한다.
중학교,체육,1~3학년,[9체02-17],네트형 스포츠의 수행 원리를 적용하여 경기 기능을 수행하고 향상한다.
중학교,체육,1~3학년,[9체02-18],네트형 스포츠의 경기 방법을 이해하고 경기 전략을 활용하며 안전하게 경기한다.
중학교,체육,1~3학년,[9체02-19],생활환경형 스포츠의 역사와 특성을 탐색하고 비교한다.
중학교,체육,1~3학년,[9체02-20],생활환경형 스포츠의 수행 원리를 적용하여 기능을 수행하고 향상한다.
중학교,체육,1~3학년,[9체02-21],생활환경형 스포츠의 활동 방법을 이해하고 활동 전략을 활용하며 안전하게 경기한다.
중학교,체육,1~3학년,[9체02-22],자연환경형 스포츠의 역사와 특성을 탐색하고 비교한다.
중학교,체육,1~3학년,[9체02-23],자연환경형 스포츠의 수행 원리를 적용하여 기능을 수행하고 향상한다.
중학교,체육,1~3학년,[9체02-24],자연환경형 스포츠의 활동 방법을 이해하고 활동 전략을 활용하며 안전하게 경기한다.
중학교,체육,1~3학년,[9체02-25],스포츠의 연습과 경기 과정에서 인내심을 발휘하여 적극적으로 도전한다.
중학교,체육,1~3학년,[9체02-26],스포츠의 연습과 경기 과정에서 구성원 간에 서로 신뢰하며 팀 목표를 달성하기 위해 노력하고 경기 예절을 갖추며 정정당당하게 참여한다.
중학교,체육,1~3학년,[9체02-27],스포츠 환경에 대한 친화적 태도와 지속가능한 스포츠 환경을 만들기 위한 공동체 의식을 발휘한다.
중학교,체육,1~3학년,[9체03-01],스포츠 표현의 역사와 특성을 탐색하고 비교한다.
중학교,체육,1~3학년,[9체03-02],스포츠 표현의 원리를 적용하여 동작을 심미적으로 표현한다.
중학교,체육,1~3학년,[9체03-03],스포츠 표현의 특성과 원리를 반영한 작품을 창작하고 표현 요소를 고려하여 감상한다.
중학교,체육,1~3학년,[9체03-04],전통 표현의 역사와 특성을 탐색하고 비교한다.
중학교,체육,1~3학년,[9체03-05],전통 표현의 원리를 적용하여 동작을 심미적으로 표현한다.
중학교,체육,1~3학년,[9체03-06],전통 표현의 특성과 원리를 반영한 작품을 창작하고 표현 요소를 고려하여 감상한다.
중학교,체육,1~3학년,[9체03-07],현대 표현의 역사와 특성을 탐색하고 비교한다.
중학교,체육,1~3학년,[9체03-08],현대 표현의 원리를 적용하여 동작을 심미적으로 표현한다.
중학교,체육,1~3학년,[9체03-09],현대 표현의 특성과 원리를 반영한 작품을 창작하고 표현 요소를 고려하여 감상한다.
중학교,체육,1~3학년,[9체03-10],움직임을 표현하고 창작하는 과정에서 독창적이고 개방적인 태도를 갖고 표현 활동 작품을 공감하고 비평한다.
중학교,음악,1~3학년,[9음01-01],다양한 주법과 표현 기법을 향상시켜 노래나 악기로 개성 있게 연주한다.
중학교,음악,1~3학년,[9음01-02],음악 요소와 음악적 특징을 살려 노래나 악기로 발표하고 평한다.
중학교,음악,1~3학년,[9음01-03],소리의 상호작용을 인식하고 매체를 활용하여 함께 표현한다.
중학교,음악,1~3학년,[9음01-04],생활 속 다양한 형태의 연주에 참여하고 전통과 현대의 연주 문화 다양성을 인식한다.
중학교,음악,1~3학년,[9음02-01],음악을 듣고 다양한 음악 요소에 집중하여 분석한다.
중학교,음악,1~3학년,[9음02-02],다양한 시대와 문화권의 음악을 듣고 음악적 특징과 음악의 구성을 파악한다.
중학교,음악,1~3학년,[9음02-03],다양한 시대⋅사회⋅문화권의 음악을 듣고 음악의 배경과 역할을 비교한다.
중학교,음악,1~3학년,[9음02-04],생활 속에서 음악을 들으며 다양한 감성과 가치를 인식하고 존중한다.
중학교,음악,1~3학년,[9음02-05],"유네스코에 등재된 우리나라의 음악 문화유산을 찾아 듣고, 세계 속 국악의 위상과 문화적 가치를 인식한다."
중학교,음악,1~3학년,[9음03-01],음악적 의도나 아이디어를 여러 매체나 방법에 적용하여 자기 주도적으로 창작한다.
중학교,음악,1~3학년,[9음03-02],"오선보, 정간보 등의 기보법을 활용하여 조건에 따라 악곡의 일부를 바꾼다."
중학교,음악,1~3학년,[9음03-03],음악의 요소와 특징을 활용하여 간단한 형식의 음악을 만든다.
중학교,음악,1~3학년,[9음03-04],생활 속의 영역과 연계하여 음악을 만들고 활용하며 책임감을 갖는다.
중학교,미술,1~3학년,[9미01-01],감각을 활용하여 대상과 현상을 탐색하고 자신과 환경에 대한 감수성을 확장할 수 있다.
중학교,미술,1~3학년,[9미01-02],시각 문화의 의미와 역할을 알고 이미지를 비판적으로 해석할 수 있다.
중학교,미술,1~3학년,[9미01-03],다양한 문화를 존중하며 이미지를 활용하여 소통할 수 있다.
중학교,미술,1~3학년,[9미01-04],삶과 미술의 관계를 이해하고 다양한 분야와의 연결 방안을 모색할 수 있다.
중학교,미술,1~3학년,[9미02-01],주제를 탐구하고 의도를 반영하여 적합한 표현을 계획할 수 있다.
중학교,미술,1~3학년,[9미02-02],주도적이고 도전적인 태도로 다양한 미술 표현을 실험하고 작품에 적용할 수 있다.
중학교,미술,1~3학년,[9미02-03],"조형 요소와 원리, 표현 재료와 방법, 디지털 매체를 포함한 다양한 매체를 활용하여 주제를 효과적으로 표현할 수 있다."
중학교,미술,1~3학년,[9미02-04],"자신과 타인의 작품을 존중하며, 다양한 방법으로 공유하고 소통할 수 있다."
중학교,미술,1~3학년,[9미02-05],미술 표현 과정에서의 경험을 성찰하고 삶의 문제 해결에 활용할 수 있다.
중학교,미술,1~3학년,[9미03-01],"미술의 시대적, 지역적, 사회적 맥락을 이해하고 설명할 수 있다."
중학교,미술,1~3학년,[9미03-02],작품의 내용과 형식을 분석하고 미술 용어와 지식을 활용하여 설명할 수 있다.
중학교,미술,1~3학년,[9미03-03],다양한 감상 방법과 관점을 활용하여 작품을 해석할 수 있다.
중학교,미술,1~3학년,[9미03-04],미술의 다원성에 대한 존중을 바탕으로 미술 감상 경험을 삶과 연결하고 공동체 문화에 기여할 수 있다.
중학교,영어,1~3학년,[9영01-01],"단어, 어구, 문장을 듣고 연음이나 축약된 소리를 식별한다."
중학교,영어,1~3학년,[9영01-02],친숙한 주제에 관한 담화나 글에서 세부 정보를 파악한다.
중학교,영어,1~3학년,[9영01-03],친숙한 주제에 관한 담화나 글의 중심 내용을 파악한다.
중학교,영어,1~3학년,[9영01-04],친숙한 주제에 관한 담화나 글에서 일이나 사건의 논리적 관계를 파악한다.
중학교,영어,1~3학년,[9영01-05],친숙한 주제에 관한 담화나 글에서 인물의 기분이나 감정을 추론한다.
중학교,영어,1~3학년,[9영01-06],친숙한 주제에 관한 담화나 글에서 화자나 필자의 의도나 목적을 추론한다.
중학교,영어,1~3학년,[9영01-07],"단어, 어구, 문장의 함축적 의미를 추론한다."
중학교,영어,1~3학년,[9영01-08],적절한 전략을 활용하여 다양한 매체로 표현된 담화나 글을 듣거나 읽는다.
중학교,영어,1~3학년,[9영01-09],다양한 관점을 존중하는 태도로 듣거나 읽는다.
중학교,영어,1~3학년,[9영01-10],자신의 관심사에 관한 다양한 담화나 글을 선택하여 적극적으로 듣거나 읽는다.
중학교,영어,1~3학년,[9영02-01],"연음이나 축약된 소리를 활용하여 단어, 어구, 문장을 말한다."
중학교,영어,1~3학년,[9영02-02],대상이나 인물의 감정을 묘사한다.
중학교,영어,1~3학년,[9영02-03],친숙한 주제에 관해 사실적 정보를 설명한다.
중학교,영어,1~3학년,[9영02-04],친숙한 주제에 관해 경험이나 계획을 설명한다.
중학교,영어,1~3학년,[9영02-05],친숙한 주제에 관해 일이나 사건의 논리적 관계를 설명한다.
중학교,영어,1~3학년,[9영02-06],친숙한 주제에 관해 자신의 의견을 주장한다.
중학교,영어,1~3학년,[9영02-07],친숙한 주제에 관해 듣거나 읽고 내용을 요약한다.
중학교,영어,1~3학년,[9영02-08],"간단한 일기, 편지, 이메일 등의 글을 쓴다."
중학교,영어,1~3학년,[9영02-09],적절한 매체를 활용하여 정보 윤리를 준수하며 말하거나 쓴다.
중학교,영어,1~3학년,[9영02-10],적절한 전략을 활용하여 상황이나 목적에 맞게 말하거나 쓴다.
중학교,영어,1~3학년,[9영02-11],상대방을 배려하는 태도로 말하거나 쓴다.
중학교,한문,1~3학년,[9한01-01],한자의 모양⋅음⋅뜻을 구별한다.
중학교,한문,1~3학년,[9한01-02],한자가 만들어진 원리를 구별한다.
중학교,한문,1~3학년,[9한01-03],단어의 짜임을 구별한다.
중학교,한문,1~3학년,[9한01-04],단어와 성어를 읽고 풀이한다.
중학교,한문,1~3학년,[9한01-05],단어와 성어를 맥락에 맞게 활용하여 소통하는 태도를 기른다.
중학교,한문,1~3학년,[9한01-06],한자 문화권의 문화에 대한 지식을 익혀 이해와 교류 증진에 참여하려는 태도를 기른다.
중학교,한문,1~3학년,[9한02-01],문장의 구조를 구별한다.
중학교,한문,1~3학년,[9한02-02],글을 의미에 맞게 읽는다.
중학교,한문,1~3학년,[9한02-03],글을 바르게 풀이한다.
중학교,한문,1~3학년,[9한02-04],글의 내용을 이해하고 주제를 파악한다.
중학교,한문,1~3학년,[9한02-05],글에 담긴 선인들의 지혜를 이해하여 미래 사회에 필요한 인성을 함양한다.
중학교,한문,1~3학년,[9한02-06],글에 담긴 전통문화의 의미와 가치를 알고 소중하게 여기는 태도를 기른다.
중학교,환경,1~3학년,[9환01-01],"일상생활이 환경에 미치는 영향과 환경이 일상생활에 미치는 영향을 조사하여 인간과 환경의 관계를 탐색하고, 환경에 대한 우리의 역할과 책임을 인식한다."
중학교,환경,1~3학년,[9환01-02],"환경 갈등 상황에서 환경에 대한 자신의 관점과 의견을 제시하고, 환경을 바라보는 다양한 관점을 비교하여 환경과 인간의 관계를 탐색한다."
중학교,환경,1~3학년,[9환01-03],"오감을 활용해 자연을 체험하고, 자연의 아름다움이나 변화, 훼손 등에 대한 생각과 감정을 다양한 방법으로 표현한다."
중학교,환경,1~3학년,[9환01-04],"학교나 지역 환경 탐사를 통해 지역과 나의 관계를 이해하고, 탐사 결과를 다양한 매체와 방법으로 제시한다."
중학교,환경,1~3학년,[9환02-01],"생태계 구성 요소인 물, 대기, 토양, 생물이 지구 생태계의 유지에 기여하는 역할과 특징을 살펴보고, 이를 통해 지구 생태계 구성 요소의 상호 작용을 파악한다."
중학교,환경,1~3학년,[9환02-02],"지구 생태계 구성 요소와 인간 사회의 상호 작용 사례를 지역적, 지구적 차원에서 찾아보고, 환경의 다양한 수준에 미치는 영향과 시간의 흐름에 따른 변화를 추론한다."
중학교,환경,1~3학년,[9환02-03],"환경은 물, 대기, 토양, 생물로 구성된 지구 생태계와 정치⋅경제⋅문화⋅법과 제도 등 인간 사회의 상호 작용을 기반으로 다양성과 복잡성을 가진 시스템임을 탐구한다."
중학교,환경,1~3학년,[9환03-01],"지구 생태계의 구성 요소와 관련된 환경 문제를 조사하여 그 문제의 특성을 파악하고, 환경 문제의 발생 원인과 영향을 사회, 문화, 경제 등 여러 측면을 고려하여 분석하고 추론한다."
중학교,환경,1~3학년,[9환03-02],"신⋅재생 에너지, 핵발전, 자원 재활용과 쓰레기 처리 등 에너지 이용 및 자원 순환과 관련된 문제를 탐구하는 과정을 계획하여 수행하고, 관련된 요소 간의 상호 작용을 분석한다."
중학교,환경,1~3학년,[9환03-03],"환경 문제의 원인과 영향을 데이터를 기반으로 조사하고, 관련 쟁점과 해결 방안을 탐구한다."
중학교,환경,1~3학년,[9환03-04],"지역 환경 문제가 지구 환경 문제와 어떻게 연결되어 있으며, 지구 생태계의 구성 요소 중 어떤 것과 관련이 있는지 파악하고, 지속가능성과 형평성을 고려하여 해결 방안을 제시한다."
중학교,환경,1~3학년,[9환04-01],지구 역사와 함께 기후가 어떻게 변화해 왔고 전망되는지 이해하고 현재의 기후위기 상황을 인식한다.
중학교,환경,1~3학년,[9환04-02],"생물다양성 감소 등 기후변화의 영향과 피해, 갈등과 불평등에 관한 사례를 탐구하고, 사람과 자연이 겪는 고통에 공감하며 지구 공동체의 관점에서 기후변화 피해를 줄이는 방법을 토의한다."
중학교,환경,1~3학년,[9환04-03],"온실가스의 종류와 특성을 알아보고, 온실가스 배출원과 배출량을 비교하여 인간 활동이 기후변화에 끼친 영향을 파악한다."
중학교,환경,1~3학년,[9환04-04],"지속가능한 미래를 위한 기후위기 대응 방향을 토의하고, 개인적⋅지역적⋅국가적 차원의 기후행동 사례를 탐구한다."
중학교,환경,1~3학년,[9환04-05],학교와 지역에서 실천할 수 있는 기후행동을 계획하고 참여하며 그 결과를 성찰한다.
중학교,환경,1~3학년,[9환05-01],"지속가능성의 의미를 이해하여 주거, 교통, 먹거리, 소비 등 일상생활에서 지속가능발전의 사례를 찾아보고, 창의적⋅개방적 태도로 지속가능한 미래 모습을 구상해 보며 자신의 견해를 제시한다."
중학교,환경,1~3학년,[9환05-02],생태시민의 의미와 역할을 이해하여 미래 세대와 비인간 존재에 대한 배려와 존중이 필요함을 인식하고 배려의 대상과 범위에 대해 토의한다.
중학교,환경,1~3학년,[9환05-03],"환경 정의 측면에서 자신이 살고 있는 마을이나 지역에 적용할 수 있는 지속가능한 사회를 위한 개인적⋅사회적 실천 방안을 조사하여 참여해 보고, 실천 방안을 평가한다."
중학교,보건,1~3학년,[9보01-01],"건강의 개념과 영향요인, 건강관리 모델을 탐구하여 건강을 관리하는 태도를 갖는다."
중학교,보건,1~3학년,[9보01-02],몸과 마음의 신호와 건강지표를 통해 건강상태를 평가하여 건강관리에 적용한다.
중학교,보건,1~3학년,[9보01-03],"건강한 수면, 식습관, 신체활동에 대해 알아보고 건강생활습관을 계획하고 실천한다."
중학교,보건,1~3학년,[9보01-04],건강문제와 건강생활기술을 탐색하여 질병을 예방할 수 있도록 건강을 관리한다.
중학교,보건,1~3학년,[9보01-05],건강에 대한 사회적 지지의 중요성을 인식하고 개인과 공동체의 건강옹호활동을 협력적으로 탐색한다.
중학교,보건,1~3학년,[9보02-01],"약물 오⋅남용과 흡연, 음주의 유혹과 압력에 대해 안전하게 선택하고 대처⋅옹호한다."
중학교,보건,1~3학년,[9보02-02],행위 중독이 건강에 미치는 영향과 위험요인 및 대처방안을 탐색하여 예방하고 관리하려는 태도를 갖는다.
중학교,보건,1~3학년,[9보02-03],자아 존중감에 대해 이해하고 생활 속에서 자아 존중감을 높이는 상황과 저하시키는 상황을 탐색하여 대처하고 지지하여 건강한 자아상을 추구한다.
중학교,보건,1~3학년,[9보02-04],"감정과 스트레스의 적절한 인식과 표현, 지지와 공감 및 다양성 존중을 통해 관계 속에서 행복함과 건강한 관계 맺기를 보여준다."
중학교,보건,1~3학년,[9보02-05],"삶과 죽음, 상실의 의미에 대한 성찰을 바탕으로, 삶의 소중함을 깨닫고 죽음⋅상실에 건강하게 대처하는 자세를 지지한다."
중학교,보건,1~3학년,[9보03-01],성의 개념과 성역할 및 영향요인에 대해 성인지적 관점에서 탐색하여 안전하고 행복한 성문화와 성의식의 필요성을 이해한다.
중학교,보건,1~3학년,[9보03-02],"청소년기 성적 발달과 관계, 신체상에 대해 알아보고 사회적 조건을 이해하며 건강하게 관리한다."
중학교,보건,1~3학년,[9보03-03],성적자기결정권을 균형 있게 탐색하여 안전하고 행복한 대처전략을 세우고 이성 교제 시 경계를 존중하고 배려하는 자세를 갖는다.
중학교,보건,1~3학년,[9보03-04],성폭력⋅성매개감염병 등 성 건강 위험요소를 미디어 문해력 및 성문화와 관련지어 탐색하고 건강하게 관리⋅옹호한다.
중학교,보건,1~3학년,[9보03-05],"임신, 피임에 대한 이해를 바탕으로 십대의 임신과 미혼 부모 문제가 개인과 사회에 미치는 영향을 분석하고 건강에 유익한 선택과 자원을 지지한다."
중학교,보건,1~3학년,[9보03-06],"청소년의 성 건강과 관련하여 사회적 쟁점이 있는 이슈들에 대해 다양한 입장의 근거와 맥락, 고정 관념, 차별, 불평등한 상황을 파악하여 균형 있고 평등한 성문화를 조성하려는 자세를 갖는다."
중학교,보건,1~3학년,[9보04-01],건강안전의 의미와 위험요인을 탐구하여 질병과 사고를 예방하고 관리하며 건강안전 지향적 환경 개선에 적극적인 태도를 갖는다.
중학교,보건,1~3학년,[9보04-02],"급⋅만성 질병의 위험요인과 건강에 미치는 영향을 탐색하여, 질병과 함께 건강하게 살아가기 위한 방안을 세우고 실천한다."
중학교,보건,1~3학년,[9보04-03],감염병과 면역의 원리를 이해하고 개인과 공동체가 지켜야 할 건강수칙을 탐색하여 근거와 함께 제안하고 실천한다.
중학교,보건,1~3학년,[9보04-04],"상황에 따른 응급처치의 원리와 방법을 이해하고, 다양한 위기 및 응급상황에서 적절한 응급처치와 협력적 대응 방안을 탐색하여 적용한다."
중학교,보건,1~3학년,[9보04-05],응급의료체계의 활용 방안을 탐색하고 심폐소생술과 자동심장충격기의 원리와 사용법을 익혀 협력적으로 바르게 적용한다.
중학교,보건,1~3학년,[9보05-01],건강권 발전을 위한 노력과 건강자원을 탐색하여 공동체의 건강권 향상을 위한 활동에 관심을 가지고 참여한다.
중학교,보건,1~3학년,[9보05-02],디지털⋅인공지능 시대에 따른 보건의료서비스와 건강정보를 포함한 건강자원의 변화를 알아보고 건강에 유익하게 활용하며 개선방안을 탐색한다.
중학교,보건,1~3학년,[9보05-03],"기후변화와 건강의 관계를 탐색하고, 지속가능한 사회를 위한 개인과 공동체의 건강옹호 활동을 탐구하고 실천한다."
중학교,보건,1~3학년,[9보05-04],건강 신념과 규범⋅관행 및 미디어 등이 건강에 미치는 영향을 탐색하고 건강하게 개선하려는 태도를 발전시켜 건강관리와 건강문제 해결에 적용한다.
중학교,보건,1~3학년,[9보05-05],다양성 존중과 사회적 소수자 배려를 포함하여 건강지향적 문화와 환경을 지지⋅옹호한다.
중학교,진로와 직업,1~3학년,[9진로01-01],진로와 직업의 의미를 이해하고 다양한 직업인의 진로 특성과 삶의 모습을 탐색한다.
중학교,진로와 직업,1~3학년,[9진로01-02],다양한 방법으로 자신의 진로 특성을 파악하고 긍정적 자아 개념을 갖는다.
중학교,진로와 직업,1~3학년,[9진로01-03],함께 일하고 싶은 직업인의 특성을 알아보고 바람직한 직업인의 자세를 갖는다.
중학교,진로와 직업,1~3학년,[9진로01-04],일과 여가의 의미와 상호 관계를 이해하고 조화롭고 행복한 삶을 생각한다.
중학교,진로와 직업,1~3학년,[9진로02-01],사회 변화에 따른 직업 세계의 변화를 이해한다.
중학교,진로와 직업,1~3학년,[9진로02-02],"진로 경로의 다양성과 가변성을 이해하고, 유연한 진로 탐색 태도를 함양한다."
중학교,진로와 직업,1~3학년,[9진로02-03],진로 정보를 탐색하는 다양한 방법을 알아보고 관심 분야의 진로 정보를 탐색하고 활용한다.
중학교,진로와 직업,1~3학년,[9진로02-04],다양한 경험과 진로 활동을 자신의 진로와 연계하며 주도적인 진로 탐색 태도를 함양한다.
중학교,진로와 직업,1~3학년,[9진로02-05],"고등학교의 유형, 특성, 교육과정에 대한 정보를 통해 교육 기회를 탐색한다."
